name;country
les Escaldes;Andorra
Andorra la Vella;Andorra
Umm al Qaywayn;United Arab Emirates
Ras al-Khaimah;United Arab Emirates
Khawr Fakkān;United Arab Emirates
Dubai;United Arab Emirates
Dibba Al-Fujairah;United Arab Emirates
Dibba Al-Hisn;United Arab Emirates
Sharjah;United Arab Emirates
Ar Ruways;United Arab Emirates
Al Fujayrah;United Arab Emirates
Al Ain;United Arab Emirates
Ajman;United Arab Emirates
Adh Dhayd;United Arab Emirates
Abu Dhabi;United Arab Emirates
Zaranj;Afghanistan
Taloqan;Afghanistan
Shīnḏanḏ;Afghanistan
Shibirghān;Afghanistan
Shahrak;Afghanistan
Sar-e Pul;Afghanistan
Sang-e Chārak;Afghanistan
Aībak;Afghanistan
Rustāq;Afghanistan
Qarqīn;Afghanistan
Qarāwul;Afghanistan
Pul-e Khumrī;Afghanistan
Paghmān;Afghanistan
Nahrīn;Afghanistan
Maymana;Afghanistan
Mehtar Lām;Afghanistan
Mazār-e Sharīf;Afghanistan
Lashkar Gāh;Afghanistan
Kushk;Afghanistan
Kunduz;Afghanistan
Khōst;Afghanistan
Khulm;Afghanistan
Khāsh;Afghanistan
Khanabad;Afghanistan
Karukh;Afghanistan
Kandahār;Afghanistan
Kabul;Afghanistan
Jalālābād;Afghanistan
Jabal os Saraj;Afghanistan
Herāt;Afghanistan
Ghormach;Afghanistan
Ghazni;Afghanistan
Gereshk;Afghanistan
Gardēz;Afghanistan
Fayzabad;Afghanistan
Farah;Afghanistan
Kafir Qala;Afghanistan
Charikar;Afghanistan
Barakī Barak;Afghanistan
Bāmyān;Afghanistan
Balkh;Afghanistan
Baghlān;Afghanistan
Ārt Khwājah;Afghanistan
Āsmār;Afghanistan
Asadābād;Afghanistan
Andkhōy;Afghanistan
Bāzārak;Afghanistan
Markaz-e Woluswalī-ye Āchīn;Afghanistan
Saint John’s;Antigua and Barbuda
The Valley;Anguilla
Sarandë;Albania
Kukës;Albania
Korçë;Albania
Gjirokastër;Albania
Elbasan;Albania
Burrel;Albania
Vlorë;Albania
Tirana;Albania
Shkodër;Albania
Patos Fshat;Albania
Lushnjë;Albania
Lezhë;Albania
Laç;Albania
Kuçovë;Albania
Krujë;Albania
Kavajë;Albania
Fier-Çifçi;Albania
Fier;Albania
Durrës;Albania
Berat;Albania
Kapan;Armenia
Goris;Armenia
Hats’avan;Armenia
Artashat;Armenia
Ararat;Armenia
Yerevan;Armenia
Ejmiatsin;Armenia
Spitak;Armenia
Sevan;Armenia
Masis;Armenia
Vanadzor;Armenia
Gavarr;Armenia
Hrazdan;Armenia
Armavir;Armenia
Gyumri;Armenia
Ashtarak;Armenia
Abovyan;Armenia
Saurimo;Angola
Lucapa;Angola
Luau;Angola
Uíge;Angola
Soio;Angola
Nzeto;Angola
N’dalatando;Angola
Mbanza Congo;Angola
Malanje;Angola
Luanda;Angola
Caxito;Angola
Cabinda;Angola
Sumbe;Angola
Namibe;Angola
Menongue;Angola
Luena;Angola
Lubango;Angola
Longonjo;Angola
Lobito;Angola
Cuito;Angola
Huambo;Angola
Catumbela;Angola
Catabola;Angola
Camacupa;Angola
Caluquembe;Angola
Caála;Angola
Benguela;Angola
Zárate;Argentina
Villa Ocampo;Argentina
Villa Lugano;Argentina
Villaguay;Argentina
Villa Gesell;Argentina
Tigre;Argentina
Tandil;Argentina
San Vicente;Argentina
Santo Tomé;Argentina
Santa Elena;Argentina
San Pedro;Argentina
San Luis del Palmar;Argentina
San Lorenzo;Argentina
San Javier;Argentina
San Isidro;Argentina
Saladas;Argentina
Retiro;Argentina
Resistencia;Argentina
Reconquista;Argentina
Quilmes;Argentina
Puerto Rico;Argentina
